GELAI,GELAIQ,LA,LAQ
406,Mother+Child+Sibling+Other relative+Non-relative,62,With children extended mix
407,Father+Mother+Child+Sibling+Other relative+Non-relative,62,With children extended mix
408,Partner+Sibling+Other relative+Non-relative,42,With partner extended mix
409,Father+Partner+Sibling+Other relative+Non-relative,42,With partner extended mix
410,Mother+Partner+Sibling+Other relative+Non-relative,42,With partner extended mix
411,Father+Mother+Partner+Sibling+Other relative+Non-relative,42,With partner extended mix
412,Child+Partner+Sibling+Other relative+Non-relative,52,With partner and children extended mix
413,Father+Child+Partner+Sibling+Other relative+Non-relative,52,With partner and children extended mix
414,Mother+Child+Partner+Sibling+Other relative+Non-relative,52,With partner and children extended mix
415,Father+Mother+Child+Partner+Sibling+Other relative+Non-relative,52,With partner and children extended mix
416,Grandaparent+Other relative+Non-relative,71,Extended mix
417,Father+Grandaparent+Other relative+Non-relative,22,With single parent extended mix
418,Mother+Grandaparent+Other relative+Non-relative,22,With single parent extended mix
419,Father+Mother+Grandaparent+Other relative+Non-relative,32,With parents extended mix
420,Child+Grandaparent+Other relative+Non-relative,62,With children extended mix
421,Father+Child+Grandaparent+Other relative+Non-relative,62,With children extended mix
422,Mother+Child+Grandaparent+Other relative+Non-relative,62,With children extended mix
423,Father+Mother+Child+Grandaparent+Other relative+Non-relative,62,With children extended mix
424,Partner+Grandaparent+Other relative+Non-relative,42,With partner extended mix
425,Father+Partner+Grandaparent+Other relative+Non-relative,42,With partner extended mix
426,Mother+Partner+Grandaparent+Other relative+Non-relative,42,With partner extended mix
427,Father+Mother+Partner+Grandaparent+Other relative+Non-relative,42,With partner extended mix
428,Child+Partner+Grandaparent+Other relative+Non-relative,52,With partner and children extended mix
429,Father+Child+Partner+Grandaparent+Other relative+Non-relative,52,With partner and children extended mix
430,Mother+Child+Partner+Grandaparent+Other relative+Non-relative,52,With partner and children extended mix
431,Father+Mother+Child+Partner+Grandaparent+Other relative+Non-relative,52,With partner and children extended mix
432,Sibling+Grandaparent+Other relative+Non-relative,71,Extended mix
433,Father+Sibling+Grandaparent+Other relative+Non-relative,22,With single parent extended mix
434,Mother+Sibling+Grandaparent+Other relative+Non-relative,22,With single parent extended mix
435,Father+Mother+Sibling+Grandaparent+Other relative+Non-relative,32,With parents extended mix
436,Child+Sibling+Grandaparent+Other relative+Non-relative,61,With children extended
437,Father+Child+Sibling+Grandaparent+Other relative+Non-relative,62,With children extended mix
438,Mother+Child+Sibling+Grandaparent+Other relative+Non-relative,62,With children extended mix
439,Father+Mother+Child+Sibling+Grandaparent+Other relative+Non-relative,62,With children extended mix
440,Partner+Sibling+Grandaparent+Other relative+Non-relative,42,With partner extended mix
441,Father+Partner+Sibling+Grandaparent+Other relative+Non-relative,42,With partner extended mix
442,Mother+Partner+Sibling+Grandaparent+Other relative+Non-relative,42,With partner extended mix
443,Father+Mother+Partner+Sibling+Grandaparent+Other relative+Non-relative,42,With partner extended mix
